,Unnamed: 0.1,Unnamed: 0,index,test_pseudo_utt,pseudo_mr,da,text,word_count,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria
10,109,109,10,Cosmic Encounter Board Game Science Fiction,Cosmic Encounter instance of board game. Cosmic Encounter genre science fiction. Cosmic Encounter domain board game.,recommend," Are you familiar with Cosmic Encounter, a science fiction board game?",11,1,3,(X (X) (X) (X)),0.01758657671,56.86154938,6.744856303,0.80786955,recommend,match_scores
11,111,111,11,Carcassonne Hans Im Glück German-Style Board Game,Carcassonne publisher Hans im Glück. Carcassonne genre German-style board game. Carcassonne domain board game.,recommend," Have you ever played Carcassonne, a German-style board game by Hans im Glück?",13,1,3,(X (X) (X) (X)),0.02227449605,44.89439392,14.9639967,0.8082516,recommend,match_scores_PPL
12,127,127,12,Sherlock Holmes Consulting Detective Deduction Game,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective domain board game.,recommend," Have you heard of Sherlock Holmes Consulting Detective, the deduction board game?",12,1,2,(X (X) (X)),0.003074374859,325.2693787,19.04774674,0.86668247,recommend,match_scores
13,130,130,13,A Game Of Thrones Fantasy 5 Good 3 Advanced,A Game of Thrones genre fantasy. A Game of Thrones maximum number of players 5. A Game of Thrones average rating good. A Game of Thrones minimum number of players 3. A Game of Thrones complexity rating advanced. A Game of Thrones domain board game.,inform," A Game of Thrones is an advanced fantasy board game for 3 to 5 players, with a good rating.",19,1,6,(X (X) (X) (X) (X) (X) (X)),0.02940983768,34.00222778,4.004653713,0.7723218,inform,match_scores
14,140,140,14,Sherlock Holmes Consulting Detective Deduction Game Complex 120 Deductive Reasoning,Sherlock Holmes Consulting Detective genre deduction game. Sherlock Holmes Consulting Detective complexity rating complex. Sherlock Holmes Consulting Detective maximum playing time 120. Sherlock Holmes Consulting Detective game mechanics deductive reasoning. Sherlock Holmes Consulting Detective domain board game.,inform,Sherlock Holmes Consulting Detective is a complex deduction board game with a maximum playing time of 120 minutes and game mechanics of deductive reasoning.,24,1,5,(X (X) (X) (X) (X) (X)),0.009365647982,106.7731781,10.73475572,0.78358674,inform,match_scores
15,150,150,15,Lord Of The Rings Fantasy 2 5 Average,Lord of the Rings genre fantasy. Lord of the Rings minimum number of players 2. Lord of the Rings maximum number of players 5. Lord of the Rings average rating average. Lord of the Rings domain board game.,inform," Lord of the Rings is a fantasy board game for 2-5 players, with an average rating.",16,1,5,(X (X) (X) (X) (X) (X)),0.05573847839,17.94092751,5.789898203,0.7197086,inform,match_scores
16,168,168,16,Barbarossa Franckh-Kosmos Board Game,Barbarossa publisher Franckh-Kosmos. Barbarossa instance of board game. Barbarossa domain board game.,recommend," Have you ever played Barbarossa, the Franckh-Kosmos board game?",9,1,3,(X (X) (X) (X)),0.0107573504,92.95969391,6.196349981,0.768753,recommend,match_scores
17,171,171,17,War Of 1812 Average Board Game Columbia Games,War of 1812 average rating average. War of 1812 instance of board game. War of 1812 publisher Columbia Games. War of 1812 domain board game.,verify_attribute,You said War of 1812 was just okay. Do you think all board games from Columbia Games are mediocre?,19,1,4,(X (X) (X) (X) (X)),0.009385426153,106.548172,6.317321198,0.7298628,verify_attribute,match_scores
18,188,188,18,Mystery Motive For Murder Average Mystery Fiction Mayfair Games,Mystery Motive for Murder average rating average. Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder domain board game.,verify_attribute,You found Mystery Motive for Murder to be just okay. Do you think all mystery fiction board games from Mayfair Games are mediocre?,23,1,4,(X (X) (X) (X) (X)),0.005099067928,196.1142731,10.18174236,0.76659775,verify_attribute,match_scores_PPL
19,199,199,19,Mystery Motive For Murder Average Mayfair Games,Mystery Motive for Murder average rating average. Mystery Motive for Murder publisher Mayfair Games. Mystery Motive for Murder domain board game.,verify_attribute,You found Mystery Motive for Murder to be just okay. Do you think all board games by Mayfair Games are mediocre?,21,1,3,(X (X) (X) (X)),0.004703064513,212.6273193,12.6128338,0.7392948,verify_attribute,match_scores
20,208,208,20,Enchanted Forest Average Ravensburger 2,Enchanted Forest average rating average. Enchanted Forest publisher Ravensburger. Enchanted Forest minimum number of players 2. Enchanted Forest domain board game.,give_opinion," Enchanted Forest is an average board game, but I like that it's published by Ravensburger and the minimum number of players is only 2.",24,1,4,(X (X) (X) (X) (X)),0.01922050296,52.02777481,14.15394535,0.6916025,give_opinion,match_scores
21,218,218,21,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Finland,Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.,suggest," Have you ever played a board game from Finland, such as Punaisten ja valkoisten taistelu Suomessa 1918?",17,1,2,(X (X) (X)),0.004010385292,249.3526001,26.00337927,0.9185023,suggest,match_scores_PPL
22,227,227,22,Cosmic Encounter,Cosmic Encounter domain board game.,confirm,Are you talking about the board game Cosmic Encounter?,9,1,1,(X (X)),0.0136796981,73.10102844,11.86840522,0.79533035,confirm,match_scores_PPL
23,239,239,23,Chicago Poor Playmix,Chicago average rating poor. Chicago publisher Playmix. Chicago domain board game.,verify_attribute,You didn't like Chicago. Do you think most board games from Playmix are boring?,14,1,3,(X (X) (X) (X)),0.005352427491,186.8311157,3.458592114,0.6067768,verify_attribute,match_scores
24,247,247,24,Mangala Abstract Strategy Game Board Game Simple 2 Mancala Average,Mangala genre abstract strategy game. Mangala instance of board game. Mangala complexity rating simple. Mangala maximum number of players 2. Mangala based on mancala. Mangala average rating average. Mangala domain board game.,inform," Mangala is a simple abstract strategy board game for up to two players, based on mancala, with an average rating.",20,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.01180289724,84.72496033,5.546295288,0.71527755,inform,match_scores
25,252,252,25,Dune Science Fiction Board Game,Dune genre science fiction. Dune instance of board game. Dune domain board game.,suggest," Have you ever played a board game in the science fiction genre, like Dune?",14,1,3,(X (X) (X) (X)),0.03309101171,30.21968651,7.655122721,0.7501104,suggest,match_scores
26,269,269,26,Yomi Card Game Average 2 30 Board Game 2 Complex,Yomi genre card game. Yomi average rating average. Yomi minimum number of players 2. Yomi minimum playing time 30. Yomi instance of board game. Yomi maximum number of players 2. Yomi complexity rating complex. Yomi domain board game.,inform,Yomi is a complex card game that can be played with two players in a minimum of 30 minutes. It has an average rating.,24,1,8,(X (X) (X) (X) (X) (X) (X) (X) (X)),0.03444183441,29.03445816,2.491692969,0.7072339,inform,match_scores
27,273,273,27,Risk Board Wargame Risk! Miro Company 6 2,Risk genre board wargame. Risk alternate names Risk!. Risk publisher Miro Company. Risk maximum number of players 6. Risk minimum number of players 2. Risk domain board game.,inform," Risk!, also known as Risk, is a board wargame published by Miro Company. It can be played with 2 to 6 players.",22,1,6,(X (X) (X) (X) (X) (X) (X)),0.02622994911,38.12435913,6.460273036,0.7368995,inform,match_scores
28,287,287,28,Chicago Strategy Game Complex 1986 90 Playmix,Chicago genre strategy game. Chicago complexity rating complex. Chicago publication year 1986. Chicago minimum playing time 90. Chicago publisher Playmix. Chicago domain board game.,inform,Chicago is a complex strategy game published by Playmix in 1986. It has a minimum playing time of 90 minutes.,20,1,6,(X (X) (X) (X) (X) (X) (X)),0.01082952732,92.34013367,7.516595008,0.6608335,inform,match_scores_PPL
29,297,297,29,Monopoly Poor Resource Management,Monopoly average rating poor. Monopoly game mechanics resource management. Monopoly domain board game.,verify_attribute,You said Monopoly was boring. Is this usually how you feel about resource management board games?,16,1,3,(X (X) (X) (X)),0.01343361398,74.44013214,5.401157445,0.6505713,verify_attribute,match_scores
30,301,301,30,Monopoly Resource Management,Monopoly game mechanics resource management. Monopoly domain board game.,suggest," Have you ever played a board game with a resource management mechanic, like Monopoly?",14,1,2,(X (X) (X)),0.0269521532,37.10278702,7.314031827,0.77433527,suggest,match_scores_PPL
31,316,316,31,Scotland Yard Deduction Game Fanton,Scotland Yard genre deduction game. Scotland Yard alternate names Fanton. Scotland Yard domain board game.,recommend," Have you ever heard of Scotland Yard, a deduction game that goes by the alternate name Fanton? It's a board game.",21,1,3,(X (X) (X) (X)),0.01293788832,77.29236603,9.165852475,0.74448746,recommend,match_scores
32,323,323,32,Axis And Allies Average Board Wargame,Axis and Allies average rating average. Axis and Allies genre board wargame. Axis and Allies domain board game.,verify_attribute,You said Axis and Allies was just average. Is this the same for all board wargames?,16,1,3,(X (X) (X) (X)),0.00792350845,126.2067184,8.906253383,0.7605072,verify_attribute,match_scores
33,330,330,33,Crossings,Crossings domain board game.,recommend," Have you played Crossings, the board game?",7,1,1,(X (X)),0.006582188419,151.9251556,10.55267032,0.6936023,recommend,match_scores_PPL
34,348,348,34,Scotland Yard Deduction Game Cooperative Gameplay,Scotland Yard genre deduction game. Scotland Yard game mechanics cooperative gameplay. Scotland Yard domain board game.,recommend," Have you heard of Scotland Yard, a deduction board game with cooperative gameplay mechanics?",14,1,3,(X (X) (X) (X)),0.003440609121,290.6462097,7.547088468,0.8204268,recommend,match_scores
35,350,350,35,Tedious 3,board game specifier tedious. board game minimum number of players 3. board game domain board game.,request,What tedious board game can you play with at least three players?,12,1,2,(X (X) (X)),0.009486875495,105.408783,4.630944468,0.7166865,request,match_scores
36,365,365,36,Heroquest Fantasy 5 Games Workshop Good 90,HeroQuest genre fantasy. HeroQuest maximum number of players 5. HeroQuest publisher Games Workshop. HeroQuest average rating good. HeroQuest minimum playing time 90. HeroQuest domain board game.,inform,HeroQuest is a fantasy board game published by Games Workshop with a good rating. It can take up to 5 players in a minimum of 90 minutes.,27,1,6,(X (X) (X) (X) (X) (X) (X)),0.02840964448,35.19931412,4.566752931,0.65214497,inform,match_scores
37,373,373,37,Betrayal At House On The Hill Cooperative Board Game Board Game Average 6 Complex 60,Betrayal at House on the Hill genre cooperative board game. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill average rating average. Betrayal at House on the Hill maximum number of players 6. Betrayal at House on the Hill complexity rating complex. Betrayal at House on the Hill minimum playing time 60. Betrayal at House on the Hill domain board game.,inform,Betrayal at House on the Hill is a complex cooperative board game for up to 6 players with an average rating. It has a minimum playing time of 60 minutes.,30,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.02569077575,38.92447662,6.710919181,0.715128,inform,match_scores_PPL
38,387,387,38,Sherlock Holmes Consulting Detective 1981,Sherlock Holmes Consulting Detective publication year 1981. Sherlock Holmes Consulting Detective domain board game.,confirm," Are you talking about the board game Sherlock Holmes Consulting Detective, published in 1981?",14,1,2,(X (X) (X)),0.006402633583,156.18573,18.92240569,0.8598249,confirm,match_scores_PPL
39,398,398,39,Enchanted Forest Fantasy Ravensburger,Enchanted Forest genre fantasy. Enchanted Forest publisher Ravensburger. Enchanted Forest domain board game.,recommend," Have you heard of Enchanted Forest, a fantasy board game from Ravensburger?",12,1,3,(X (X) (X) (X)),0.01657781434,60.32158279,7.705829865,0.7442501,recommend,match_scores
40,400,400,40,Battle Masters Average Warhammer Moderate,Battle Masters average rating average. Battle Masters based on Warhammer. Battle Masters complexity rating moderate. Battle Masters domain board game.,give_opinion,Battle Masters is an average board game. Its moderate complexity level and theme based on Warhammer make it an enjoyable experience for gamers.,23,1,4,(X (X) (X) (X) (X)),0.007133926361,140.1752625,11.85666012,0.7203473,give_opinion,match_scores
41,419,419,41,Frustrating Deduction Game,board game specifier frustrating. board game genre deduction game. board game domain board game.,request,What's the most frustrating deduction game board game you've ever played?,11,1,2,(X (X) (X)),0.01758230909,56.87535095,6.676784497,0.70762086,request,match_scores
42,424,424,42,Frustrating Resource Management,board game specifier frustrating. board game game mechanics resource management. board game domain board game.,request,What board game with a resource management game mechanic is the most frustrating?,13,1,2,(X (X) (X)),0.007582681321,131.8794708,6.680013609,0.72429913,request,match_scores
43,438,438,43,Betrayal At House On The Hill Bruce Glassco Asmodee,Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.,suggest," Have you ever played a board game from Asmodee created by Bruce Glassco, like Betrayal at House on the Hill?",20,1,3,(X (X) (X) (X)),0.01442517803,69.32323456,19.59417542,0.7465331,suggest,match_scores
44,447,447,44,Confusing Cooperative Board Game,board game specifier confusing. board game genre cooperative board game. board game domain board game.,request,What's the most confusing cooperative board game you know of in the board game domain?,15,1,2,(X (X) (X)),0.00985887885,101.4314117,14.04209931,0.8127357,request,match_scores_PPL
45,456,456,45,Uninspiring 8,board game specifier uninspiring. board game maximum number of players 8. board game domain board game.,request,What board game do you think is the most uninspiring for a game with up to 8 players?,18,1,2,(X (X) (X)),0.03672559872,27.22896385,5.328642243,0.74146056,request,match_scores
46,464,464,46,Sherlock Holmes Consulting Detective Excellent Space Cowboys Board Game,Sherlock Holmes Consulting Detective average rating excellent. Sherlock Holmes Consulting Detective publisher Space Cowboys. Sherlock Holmes Consulting Detective instance of board game. Sherlock Holmes Consulting Detective domain board game.,give_opinion,Sherlock Holmes Consulting Detective is an excellent board game and I give it my highest recommendation. The publisher Space Cowboys did a great job of bringing this game to life.,30,1,4,(X (X) (X) (X) (X)),0.02055296946,48.6547699,12.66982748,0.7193042,give_opinion,match_scores
47,477,477,47,Thurn And Taxis Historical Board Game 4 Germany Complex Board Game 60 Good,Thurn and Taxis genre historical board game. Thurn and Taxis maximum number of players 4. Thurn and Taxis country of origin Germany. Thurn and Taxis complexity rating complex. Thurn and Taxis instance of board game. Thurn and Taxis minimum playing time 60. Thurn and Taxis average rating good. Thurn and Taxis domain board game.,inform,Thurn and Taxis is a complex German historical board game for up to 4 players with a minimum time of 60 minutes and a good rating.,26,1,8,(X (X) (X) (X) (X) (X) (X) (X) (X)),0.01308944155,76.39745331,3.083406682,0.6976499,inform,match_scores
48,485,485,48,Lord Of The Rings Average Board Game,Lord of the Rings average rating average. Lord of the Rings instance of board game. Lord of the Rings domain board game.,verify_attribute,You said Lord of the Rings was an average game. Do you think most board games are mediocre?,18,1,3,(X (X) (X) (X)),0.02781433625,35.9526825,11.92875496,0.7291565,verify_attribute,match_scores
49,495,495,49,Mystery Motive For Murder Mystery Fiction 2015 5,Mystery Motive for Murder genre mystery fiction. Mystery Motive for Murder publication year 2015. Mystery Motive for Murder maximum number of players 5. Mystery Motive for Murder domain board game.,inform," Mystery Motive for Murder is a mystery fiction board game for up to 5 players, published in 2015.",18,1,4,(X (X) (X) (X) (X)),0.01465188198,68.25061798,9.503832128,0.8120387,inform,match_scores_PPL
50,501,501,50,Monopoly Roll-And-Move United States Of America Hasbro Resource Management 2,Monopoly genre roll-and-move. Monopoly country of origin United States of America. Monopoly publisher Hasbro. Monopoly game mechanics resource management. Monopoly minimum number of players 2. Monopoly domain board game.,inform," Monopoly is a roll-and-move board game from the United States of America, published by Hasbro and featuring resource management mechanics. It requires at least 2 players.",26,1,6,(X (X) (X) (X) (X) (X) (X)),0.03042065128,32.87240601,10.52452925,0.63760424,inform,match_scores
51,515,515,51,Thurn And Taxis Andreas Seyfarth 2006,Thurn and Taxis developer Andreas Seyfarth. Thurn and Taxis publication year 2006. Thurn and Taxis domain board game.,confirm," Are you talking about the Andreas Seyfarth board game, Thurn and Taxis, published in 2006?",15,1,3,(X (X) (X) (X)),0.009755111513,102.5103607,10.28405558,0.81083167,confirm,match_scores
52,521,521,52,Monopoly Resource Management Roll-And-Move,Monopoly game mechanics resource management. Monopoly genre roll-and-move. Monopoly domain board game.,recommend," Have you heard of Monopoly, the roll-and-move board game with resource management game mechanics?",14,1,3,(X (X) (X) (X)),0.01985027334,50.37714005,9.103526406,0.7743131,recommend,match_scores
53,530,530,53,Yomi Yomi: Fighting Card Game Board Game,Yomi alternate names Yomi: Fighting Card Game. Yomi instance of board game. Yomi domain board game.,recommend," Have you heard of Yomi, or its alternate name Yomi: Fighting Card Game? It is a board game.",18,1,3,(X (X) (X) (X)),0.0183051533,54.62942505,23.41812326,0.88558847,recommend,match_scores
54,546,546,54,Punaisten Ja Valkoisten Taistelu Suomessa 1918 Wargame 1918 2 Finland Board Game Simple,Punaisten ja valkoisten taistelu Suomessa 1918 genre wargame. Punaisten ja valkoisten taistelu Suomessa 1918 publication year 1918. Punaisten ja valkoisten taistelu Suomessa 1918 minimum number of players 2. Punaisten ja valkoisten taistelu Suomessa 1918 country of origin Finland. Punaisten ja valkoisten taistelu Suomessa 1918 instance of board game. Punaisten ja valkoisten taistelu Suomessa 1918 complexity rating simple. Punaisten ja valkoisten taistelu Suomessa 1918 domain board game.,inform,Punaisten ja valkoisten taistelu Suomessa 1918 is a simple wargame board game from Finland with a minimum of 2 players. It was published in 1918.,25,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.007548824142,132.4709625,4.455092646,0.8776676,inform,match_scores
55,558,558,55,Star Realms White Wizard Games,Star Realms publisher White Wizard Games. Star Realms domain board game.,recommend," Have you played Star Realms, the board game from White Wizard Games?",12,1,2,(X (X) (X)),0.01274333076,78.47241974,15.53712569,0.7841459,recommend,match_scores_PPL
56,569,569,56,Spirit Island Cooperative Board Game Advanced 4,Spirit Island genre cooperative board game. Spirit Island complexity rating advanced. Spirit Island maximum number of players 4. Spirit Island domain board game.,inform,Spirit Island is an advanced cooperative board game for up to 4 players.,13,1,4,(X (X) (X) (X) (X)),0.01807622376,55.32128906,6.083432097,0.74092704,inform,match_scores_PPL
57,579,579,57,Descent Journeys In The Dark Fantasy Flight Games,Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark domain board game.,suggest," Have you ever played a board game published by Fantasy Flight Games, like Descent Journeys in the Dark?",18,1,2,(X (X) (X)),0.02661355813,37.57483292,26.34333477,0.799899,suggest,match_scores_PPL
58,581,581,58,Barbarossa 6,Barbarossa maximum number of players 6. Barbarossa domain board game.,suggest," Have you ever played a board game for up to 6 players, like Barbarossa?",14,1,2,(X (X) (X)),0.0274807976,36.38904572,6.150343144,0.7080135,suggest,match_scores_PPL
59,592,592,59,Barbarossa Average Franckh-Kosmos Board Game,Barbarossa average rating average. Barbarossa publisher Franckh-Kosmos. Barbarossa instance of board game. Barbarossa domain board game.,verify_attribute,You said Barbarossa was just okay. Do you usually find Franckh-Kosmos board games to be mediocre?,16,1,4,(X (X) (X) (X) (X)),0.007124347121,140.363739,2.71789012,0.66168237,verify_attribute,match_scores_PPL
60,601,601,60,Axis And Allies Average Board Wargame,Axis and Allies average rating average. Axis and Allies genre board wargame. Axis and Allies domain board game.,give_opinion,Axis and Allies is an average board game but I think it's worth playing because of its board wargame genre.,20,1,3,(X (X) (X) (X)),0.01844964146,54.20159531,10.86272162,0.759305,give_opinion,match_scores
61,619,619,61,Betrayal At House On The Hill Average Bruce Glassco Asmodee,Betrayal at House on the Hill average rating average. Betrayal at House on the Hill developer Bruce Glassco. Betrayal at House on the Hill publisher Asmodee. Betrayal at House on the Hill domain board game.,verify_attribute,You said Betrayal at House on the Hill was just okay. Do you think all board games by Bruce Glassco and Asmodee are mediocre?,24,1,4,(X (X) (X) (X) (X)),0.006527865197,153.1894379,13.14682693,0.7087262,verify_attribute,match_scores
62,620,620,62,Battle Masters Board Game,Battle Masters instance of board game. Battle Masters domain board game.,suggest," Have you ever played a board game, like Battle Masters?",10,1,2,(X (X) (X)),0.01688812097,59.21321869,8.81261268,0.79116404,suggest,match_scores_PPL
63,637,637,63,Betrayal At House On The Hill Hasbro Board Game,Betrayal at House on the Hill publisher Hasbro. Betrayal at House on the Hill instance of board game. Betrayal at House on the Hill domain board game.,confirm,Are you talking about the Hasbro board game Betrayal at House on the Hill?,14,1,3,(X (X) (X) (X)),0.01839495486,54.36273193,14.16454632,0.84563583,confirm,match_scores
64,641,641,64,Descent Journeys In The Dark Fantasy 2 Board Game Advanced Fantasy Flight Games 2005,Descent Journeys in the Dark genre fantasy. Descent Journeys in the Dark minimum number of players 2. Descent Journeys in the Dark instance of board game. Descent Journeys in the Dark complexity rating advanced. Descent Journeys in the Dark publisher Fantasy Flight Games. Descent Journeys in the Dark publication year 2005. Descent Journeys in the Dark domain board game.,inform,Descent Journeys in the Dark is an advanced fantasy board game published by Fantasy Flight Games in 2005 for a minimum of 2 players.,24,1,7,(X (X) (X) (X) (X) (X) (X) (X)),0.02388054698,41.87508774,4.719728479,0.67193836,inform,match_scores
65,650,650,65,Stimulating Roll-And-Move,board game specifier stimulating. board game genre roll-and-move. board game domain board game.,request,Are there any stimulating roll-and-move games in the board game domain?,11,1,2,(X (X) (X)),0.006258812438,159.7747192,10.26298192,0.7338878,request,match_scores
66,669,669,66,Afrikan Tähti Roll-And-Move Board Game,Afrikan tähti genre roll-and-move. Afrikan tähti instance of board game. Afrikan tähti domain board game.,recommend," Have you heard of Afrikan tähti, a roll-and-move board game?",10,1,3,(X (X) (X) (X)),0.01107061062,90.32925415,6.429415067,0.81160897,recommend,match_scores_PPL
67,678,678,67,A Game Of Thrones 5 Board Game,A Game of Thrones maximum number of players 5. A Game of Thrones instance of board game. A Game of Thrones domain board game.,suggest," Have you ever played a board game for five players, like A Game of Thrones?",15,1,3,(X (X) (X) (X)),0.02662240702,37.5623436,9.826132471,0.8192879,suggest,match_scores
68,684,684,68,Dune Excellent Science Fiction 6,Dune average rating excellent. Dune genre science fiction. Dune maximum number of players 6. Dune domain board game.,give_opinion," I think Dune is an excellent board game. The science fiction genre makes it interesting, and the maximum number of players of 6 makes it great for a group.",29,1,4,(X (X) (X) (X) (X)),0.02134734774,46.84422684,13.07201098,0.64207214,give_opinion,match_scores
69,695,695,69,Yomi Card Game Complex 2 Board Game Yomi: Fighting Card Game,Yomi genre card game. Yomi complexity rating complex. Yomi minimum number of players 2. Yomi instance of board game. Yomi alternate names Yomi: Fighting Card Game. Yomi domain board game.,inform," Yomi: Fighting Card Game, also known as Yomi, is a complex board game for at least two players.",18,1,6,(X (X) (X) (X) (X) (X) (X)),0.0231613742,43.17533112,10.52960835,0.8319426,inform,match_scores
70,708,708,70,Yomi Card Game Complex 2 Board Game Yomi: Fighting Card Game,Yomi genre card game. Yomi complexity rating complex. Yomi maximum number of players 2. Yomi instance of board game. Yomi alternate names Yomi: Fighting Card Game. Yomi domain board game.,inform," Yomi: Fighting Card Game, also known as Yomi, is a complex board game for up to 2 players.",18,1,6,(X (X) (X) (X) (X) (X) (X)),0.02481934436,40.29115295,10.76116668,0.8333178,inform,match_scores_PPL
71,712,712,71,Enchanted Forest Average 6 30,Enchanted Forest average rating average. Enchanted Forest maximum number of players 6. Enchanted Forest minimum playing time 30. Enchanted Forest domain board game.,give_opinion," Enchanted Forest is an average board game, but I appreciate the maximum of 6 players and the minimum playing time of 30 minutes.",23,1,4,(X (X) (X) (X) (X)),0.02129850833,46.9516449,9.046290032,0.7132913,give_opinion,match_scores
