mr,text,errors,incorrect,duplicate,mr_len,SACC
"confirm(name[Y.M.C.A.], performer[Village People])",Are you talking about the song Y.M.C.A. by the Village People?,0,,,2,100.0
"confirm(name[The Way I Are], producer[Joel Little])",Are you referring to the song The Way I Are produced by Joel Little?,0,,,2,100.0
"confirm(name[Dragostea Din Tei], performer[O-Zone])",Are you referring to the song Dragostea Din Tei by O-Zone?,0,,,2,100.0
"confirm(name[Paint It Black], performer[The Rolling Stones])",Is Paint It Black the song by The Rolling Stones?,0,,,2,100.0
"confirm(name[Every Breath You Take], record_label[A&M Records])",Are you referring to Every Breath You Take from A&M Records?,0,,,2,100.0
"confirm(name[In My Bed], producer[Salaam Remi])",Are you talking about Salaam Remi's song In My Bed?,0,,,2,100.0
"confirm(name[I Was Gonna Cancel], instance_of[musical work/composition])",Are you referring to the musical work/composition of I Was Gonna Cancel?,0,,,2,100.0
"confirm(name[Matador], instance_of[musical work/composition])",Are you referring to the musical work/composition Matador?,0,,,2,100.0
"confirm(name[Black Barbies], record_label[Interscope Records])",Are you referring to the song Black Barbies by Interscope Records?,0,,,2,100.0
"confirm(name[Feel Again], from_album[Native])"," Are you referring to ""Feel Again"" from the album Native?",0,,,2,100.0
"confirm(name[Afterlife], instance_of[single])",Are you referring to the song Afterlife which is a single?,0,,,2,100.0
"confirm(name[Black Barbies], performer[Nicki Minaj])",Are you referring to the Nicki Minaj song Black Barbies?,0,,,2,100.0
"confirm(name[So Good], performer[B.o.B])",Are you referring to the song So Good by B.o.B?,0,,,2,100.0
"confirm(name[Viva la Vida], from_album[Viva la Vida or Death and All His Friends])",Are you referring to Viva la Vida from the album Viva la Vida or Death and All His Friends?,1,from_album,,2,50.0
"confirm(name[Que Calor], producer[Diplo])",Are you referring to Diplo's song Que Calor?,0,,,2,100.0
"confirm(name[For a Friend], from_album[Red])"," Are you talking about ""For a Friend"" from the album Red?",0,,,2,100.0
"confirm(name[Seven Nation Army], genres[garage rock])",Are you talking about the garage rock song Seven Nation Army?,0,,,2,100.0
"confirm(name[For a Friend], publication_year[1988])",Are you referring to the song For a Friend from 1988?,0,,,2,100.0
"confirm(name[Stairway to Heaven], is_from_album[True])",Are you referring to Stairway to Heaven from an album?,1,is_from_album,,2,50.0
"confirm(name[Waka Waka], record_label[Epic Records])",Are you referring to Waka Waka by Epic Records?,0,,,2,100.0
"confirm(name[Old Town Road], from_album[7])",Are you talking about the song Old Town Road from the album 7?,0,,,2,100.0
"confirm(name[Mr. Brightside], producer[The Killers])",Are you referring to Mr. Brightside by The Killers?,0,,,2,100.0
"confirm(name[Careless Whisper], from_album[Make It Big])",Are you referring to Careless Whisper from the album Make It Big?,0,,,2,100.0
"confirm(name[Anti-Hero], genres[synth-pop])",Are you referring to the synth-pop song Anti-Hero?,0,,,2,100.0
"confirm(name[Poison], producer[RedOne])",Are you talking about the song Poison produced by RedOne?,0,,,2,100.0
"confirm(name[All or Nothing], performer[Milli Vanilli])",Are you referring to Milli Vanilli's song All or Nothing?,0,,,2,100.0
"confirm(name[Old Town Road], instance_of[single])"," Are you referring to the single, Old Town Road?",0,,,2,100.0
"confirm(name[So Good], producer[Ryan Tedder])",Are you talking about the song So Good produced by Ryan Tedder?,0,,,2,100.0
"confirm(name[Blinding Lights], instance_of[single])",Are you referring to the single Blinding Lights?,0,,,2,100.0
"confirm(name[Littlest Things], producer[Mark Ronson])",Are you referring to Littlest Things produced by Mark Ronson?,0,,,2,100.0
"confirm(name[Style], genres[pop rock])",Are you referring to the pop rock song Style?,0,,,2,100.0
"confirm(name[Dragostea Din Tei], instance_of[musical work/composition])",Are you referring to the musical work/composition Dragostea Din Tei?,0,,,2,100.0
"confirm(name[Evolution], record_label[Virgin Records])",Are you referring to the song Evolution by Virgin Records?,0,,,2,100.0
"confirm(name[Seven Nation Army], instance_of[single])"," Are you talking about the single ""Seven Nation Army""?",0,,,2,100.0
"confirm(name[Stargazing], record_label[Sony Music])",Are you referring to the song Stargazing from Sony Music?,0,,,2,100.0
"confirm(name[Evolution], instance_of[single])"," Are you referring to the single ""Evolution""?",0,,,2,100.0
"confirm(name[Pumped Up Kicks], genres[pop rock])",Are you referring to the pop rock song Pumped Up Kicks?,0,,,2,100.0
"confirm(name[Stereotypes], record_label[Food Records])",Are you talking about the song Stereotypes by Food Records?,0,,,2,100.0
"confirm(name[All or Nothing], is_from_album[True])",Are you talking about the song All or Nothing which is from an album?,1,is_from_album,,2,50.0
"confirm(name[We Are the World], performer[USA for Africa])",Are you referring to We Are the World by USA for Africa?,0,,,2,100.0
"confirm(name[Y.M.C.A.], producer[Jacques Morali])",Are you referring to Y.M.C.A. by Jacques Morali?,0,,,2,100.0
"confirm(name[Careless Whisper], instance_of[musical work/composition])",Are you referring to the musical work/composition Careless Whisper?,0,,,2,100.0
"confirm(name[Cold Heart], producer[Pnau])",Are you referring to the song Cold Heart by Pnau?,0,,,2,100.0
"confirm(name[Pumped Up Kicks], is_from_album[True])",Are you talking about the song Pumped Up Kicks from an album?,1,is_from_album,,2,50.0
"confirm(name[Viva la Vida], instance_of[single])",Are you referring to the single entitled Viva la Vida?,0,,,2,100.0
"confirm(name[Stargazing], from_album[Stargazing])"," Are you referring to the song ""Stargazing"" from the album ""Stargazing""?",0,,,2,100.0
"confirm(name[Sweet Home Alabama], is_from_album[True])",Are you referring to the song Sweet Home Alabama from an album?,1,is_from_album,,2,50.0
"confirm(name[The Way I Are], genres[pop music])"," Are you referring to The Way I Are, the pop music song?",0,,,2,100.0
"confirm(name[As It Was], performer[Harry Styles])"," Are you referring to ""As It Was"" by Harry Styles?",0,,,2,100.0
"confirm(name[Wanna Get to Know You], instance_of[audio track])"," Are you referring to the audio track ""Wanna Get to Know You""?",0,,,2,100.0
"confirm(name[Mad Love], record_label[Polydor Records])",Are you referring to the song Mad Love by Polydor Records?,0,,,2,100.0
"confirm(name[Get Up!], record_label[Roadrunner Records])",Are you referring to Get Up! by Roadrunner Records?,0,,,2,100.0
"confirm(name[In My Bed], from_album[Frank])",Are you referring to the song In My Bed from Frank album?,0,,,2,100.0
"confirm(name[King of Sorrow], publication_year[2001])",Are you referring to the King of Sorrow song from 2001?,0,,,2,100.0
"confirm(name[Littlest Things], instance_of[single])"," Are you referring to the single ""Littlest Things""?",0,,,2,100.0
"confirm(name[Blurred Lines], performer[Pharrell Williams, T.I.])",Are you referring to the song Blurred Lines by Pharrell Williams and T.I.?,1,performer,,2,50.0
"confirm(name[Every Breath You Take], from_album[Synchronicity])",Are you referring to Every Breath You Take from the Synchronicity album?,0,,,2,100.0
"confirm(name[Poison], genres[dance-pop])"," Are you talking about the dance-pop song, Poison?",0,,,2,100.0
"confirm(name[Money for Nothing], is_from_album[True])",Are you referring to the song Money for Nothing from an album?,1,is_from_album,,2,50.0
"confirm(name[Marilyn Monroe], from_album[Girl])",Are you referring to Marilyn Monroe from the album Girl?,0,,,2,100.0
"confirm(name[Space Oddity], instance_of[single])",Are you referring to the Space Oddity single?,0,,,2,100.0
"confirm(name[Stairway to Heaven], producer[Jimmy Page])",Are you referring to Jimmy Page's Stairway to Heaven song?,0,,,2,100.0
"confirm(name[Evolution], producer[Atticus Ross])",Are you referring to the song Evolution produced by Atticus Ross?,0,,,2,100.0
"confirm(name[Somebody That I Used to Know], genres[indie pop])",Are you talking about the indie pop song Somebody That I Used to Know?,0,,,2,100.0
"confirm(name[Blurred Lines], is_from_album[True])",Are you referring to Blurred Lines which is from an album?,1,is_from_album,,2,50.0
"confirm(name[Black Barbies], is_from_album[False])",Are you talking about the song Black Barbies?,1,is_from_album,,2,50.0
"confirm(name[Anti-Hero], from_album[Midnights])",Are you referring to the song Anti-Hero from Midnights?,0,,,2,100.0
"confirm(name[Money for Nothing], performer[Dire Straits])"," Are you referring to the Dire Straits song, Money for Nothing?",0,,,2,100.0
"confirm(name[Habibi], performer[Faydee, Shaggy])"," Are you referring to Habibi, the song by Faydee and Shaggy?",1,performer,,2,50.0
"confirm(name[Money for Nothing], producer[Mark Knopfler])",Are you referring to the song Money for Nothing by Mark Knopfler?,0,,,2,100.0
"confirm(name[Wild], producer[Alex Hope])"," Are you talking about Wild, the song produced by Alex Hope?",0,,,2,100.0
"confirm(name[Y.M.C.A.], record_label[Casablanca Records])",Are you referring to Y.M.C.A. by Casablanca Records?,0,,,2,100.0
"confirm(name[Right Here, Right Now], genres[electro])"," Are you referring to Right Here, Right Now, the electro song?",0,,,2,100.0
"confirm(name[Que Calor], is_from_album[True])",Are you referring to the song Que Calor from an album?,1,is_from_album,,2,50.0
"confirm(name[Afterlife], is_from_album[True])",Are you referring to the song Afterlife from an album?,1,is_from_album,,2,50.0
"confirm(name[In My Bed], is_from_album[True])"," Are you referring to In My Bed, the song from an album?",1,is_from_album,,2,50.0
"confirm(name[Over It], instance_of[single])"," Are you referring to the single song, Over It?",0,,,2,100.0
"confirm(name[We Are the World], instance_of[single])"," Are you referring to the single, We Are the World?",0,,,2,100.0
"confirm(name[Littlest Things], performer[Lily Allen])",Are you referring to “Littlest Things” by Lily Allen?,0,,,2,100.0
"confirm(name[Anti-Hero], record_label[Republic Records])"," Are you referring to Anti-Hero, the song from Republic Records?",0,,,2,100.0
"confirm(name[Seven Nation Army], publication_year[2003])",Are you referring to the song Seven Nation Army released in 2003?,0,,,2,100.0
"confirm(name[King of Sorrow], producer[Sade Adu])",Are you referring to Sade Adu's song King of Sorrow?,0,,,2,100.0
"confirm(name[Anti-Hero], instance_of[musical work/composition])",Are you referring to the musical work/composition Anti-Hero?,0,,,2,100.0
"confirm(name[Viva la Vida], is_from_album[True], publication_year[2008])"," Are you referring to the 2008 song, Viva La Vida, from an album?",1,is_from_album,,3,66.66666666666666
"confirm(name[Stargazing], is_from_album[True], record_label[Ultra Music])"," Are you referring to Stargazing, from the album on Ultra Music?",1,is_from_album,,3,66.66666666666666
"confirm(name[Apple Shampoo], record_label[MCA Records], performer[Blink-182])",Are you referring to Blink-182's Apple Shampoo on MCA Records?,0,,,3,100.0
"confirm(name[In My Bed], genres[soul music], from_album[Frank])"," Are you referring to In My Bed, the soul music from Frank album?",0,,,3,100.0
"confirm(name[Style], from_album[1989], record_label[Big Machine Records])",Are you referring to the song 'Style' released by Big Machine Records in 1989?,0,,,3,100.0
"confirm(name[Hold My Hand], is_from_album[False], instance_of[single])"," Are you referring to the single, Hold My Hand?",1,is_from_album,,3,66.66666666666666
"confirm(name[Anti-Hero], genres[synth-pop], record_label[Republic Records])",Are you talking about the synth-pop song Anti-Hero released by Republic Records?,0,,,3,100.0
"confirm(name[Apple Shampoo], from_album[Dude Ranch], producer[Mark Trombino])"," Are you referring to Apple Shampoo, the song from Dude Ranch produced by Mark Trombino?",0,,,3,100.0
"confirm(name[In My Bed], performer[Amy Winehouse], from_album[Frank])",Are you referring to the song In My Bed by Amy Winehouse from the album Frank?,0,,,3,100.0
"confirm(name[Take My Breath Away], record_label[Geffen Records], performer[Berlin])"," Are you talking about Berlin's ""Take My Breath Away"" released by Geffen Records?",0,,,3,100.0
"confirm(name[Kings of the Wild Frontier], publication_year[1980], from_album[Kings of the Wild Frontier])",Are you referring to the song Kings of the Wild Frontier from the album of the same name released in 1980?,0,,,3,100.0
"confirm(name[Waka Waka], genres[pop rock], instance_of[single])",Are you referring to the pop rock single Waka Waka?,0,,,3,100.0
"confirm(name[I Was Gonna Cancel], publication_year[2014], is_from_album[True])"," Are you referring to I Was Gonna Cancel, which was released in 2014 and is from an album?",1,is_from_album,,3,66.66666666666666
"confirm(name[Dragostea Din Tei], genres[Eurodance], is_from_album[True])",Is Dragostea Din Tei the Eurodance song from an album?,1,is_from_album,,3,66.66666666666666
"confirm(name[Somebody That I Used to Know], genres[indie pop], publication_year[2011])",Are you referring to the 2011 indie pop single Somebody That I Used to Know?,0,,,3,100.0
"confirm(name[Macarena], performer[Los del Río], from_album[A mí me gusta])",Are you referring to Los del Río's Macarena from the album A mí me gusta?,0,,,3,100.0
"confirm(name[Kings of the Wild Frontier], publication_year[1980], producer[Chris Hughes])"," Are you referring to Kings of the Wild Frontier, the 1980 song produced by Chris Hughes?",0,,,3,100.0
"confirm(name[Dragostea Din Tei], from_album[DiscO-Zone], is_from_album[True])",Is Dragostea Din Tei from the album DiscO-Zone?,1,is_from_album,,3,66.66666666666666
"confirm(name[Dragostea Din Tei], from_album[DiscO-Zone], genres[Eurodance])",Are you referring to the Eurodance song Dragostea Din Tei from the album DiscO-Zone?,0,,,3,100.0
"confirm(name[Wild], publication_year[2015], producer[Alex Hope])"," Are you referring to Wild from 2015, produced by Alex Hope?",0,,,3,100.0
"confirm(name[I Was Gonna Cancel], publication_year[2014], producer[Pharrell Williams])",Are you referring to the song I Was Gonna Cancel produced by Pharrell Williams in 2014?,0,,,3,100.0
"confirm(name[Style], performer[Taylor Swift], record_label[Big Machine Records])"," Is the song Style by Taylor Swift, released by Big Machine Records?",0,,,3,100.0
"confirm(name[Old Town Road], publication_year[2018], genres[country rap])",Are you referring to the 2018 country rap song Old Town Road?,0,,,3,100.0
"confirm(name[Stereotypes], publication_year[1996], from_album[The Great Escape])",Are you referring to the song Stereotypes from the 1996 album The Great Escape?,0,,,3,100.0
"confirm(name[Y.M.C.A.], record_label[Casablanca Records], performer[Village People])"," Are you referring to the song Y.M.C.A. by the Village People, released by Casablanca Records?",0,,,3,100.0
"confirm(name[Stargazing], producer[Kygo], record_label[Sony Music])",Are you referring to Kygo's Stargazing released by Sony Music?,0,,,3,100.0
"confirm(name[I Was Gonna Cancel], is_from_album[True], from_album[Kiss Me Once])",Do you mean I Was Gonna Cancel from the album Kiss Me Once?,1,is_from_album,,3,66.66666666666666
"confirm(name[Take My Breath Away], is_from_album[True], publication_year[1986])"," Are you referring to Take My Breath Away, released on an album in 1986?",1,is_from_album,,3,66.66666666666666
"confirm(name[Matador], record_label[Sony Music], publication_year[1994])",Are you referring to the song Matador released by Sony Music in 1994?,0,,,3,100.0
"confirm(name[Somebody That I Used to Know], instance_of[single], genres[indie pop])",Are you referring to the indie pop single Somebody That I Used to Know?,0,,,3,100.0
"confirm(name[King of Sorrow], from_album[Lovers Rock], record_label[Epic Records])"," Are you referring to King of Sorrow, the song from Lovers Rock by Epic Records?",0,,,3,100.0
"confirm(name[Money for Nothing], publication_year[1985], from_album[Brothers in Arms])"," Are you referring to Money for Nothing, the 1985 track from the Brothers in Arms album?",0,,,3,100.0
"confirm(name[Afterlife], instance_of[single], producer[James Murphy])",Is Afterlife the single produced by James Murphy?,0,,,3,100.0
"confirm(name[I Still...], is_from_album[True], record_label[Jive Records])",Are you referring to I Still... from the album released on Jive Records?,1,is_from_album,,3,66.66666666666666
"confirm(name[Style], instance_of[single], from_album[1989])"," Are you referring to the single ""Style"" from the 1989 album?",0,,,3,100.0
"confirm(name[In My Bed], is_from_album[True], instance_of[single])",Are you referring to the single In My Bed from an album?,1,is_from_album,,3,66.66666666666666
"confirm(name[Macarena], genres[music of Latin America], performer[Los del Río])"," Are you referring to the Macarena song by Los del Río, which is from the music of Latin America?",0,,,3,100.0
"confirm(name[For a Friend], record_label[London], from_album[Red])",Are you referring to the song For a Friend from the album Red by London?,0,,,3,100.0
"confirm(name[Stereotypes], genres[Britpop], producer[Stephen Street])",Are you talking about Stephen Street's Britpop song Stereotypes?,0,,,3,100.0
"confirm(name[Que Calor], is_from_album[True], producer[Diplo])",Are you talking about Diplo's song Que Calor from an album?,1,is_from_album,,3,66.66666666666666
"confirm(name[Habibi], is_from_album[False], producer[Costi Ioniță])",Are you referring to Costi Ioniță's single Habibi?,1,is_from_album,,3,66.66666666666666
"confirm(name[Seven Nation Army], producer[Jack White], is_from_album[True])",Is Seven Nation Army the song from the album produced by Jack White?,1,is_from_album,,3,66.66666666666666
"confirm(name[Wanna Get to Know You], performer[Joe, G-Unit], from_album[Beg for Mercy])"," Are you referring to Joe and G-Unit's song, Wanna Get to Know You, from the Beg for Mercy album?",1,performer,,3,66.66666666666666
"confirm(name[Afterlife], publication_year[2013], record_label[Merge Records])",Are you referring to Merge Records' Afterlife from 2013?,0,,,3,100.0
"confirm(name[Mad Love], record_label[Polydor Records], from_album[Mabel singles discography])",Are you referring to Mad Love from Polydor Records' Mabel singles discography?,0,,,3,100.0
"confirm(name[Dog Eat Dog], is_from_album[True], instance_of[musical work/composition])"," Are you referring to Dog Eat Dog, the song from an album?",2,"is_from_album, instance_of",,3,33.33333333333333
"confirm(name[Stairway to Heaven], producer[Jimmy Page], performer[Led Zeppelin])",Are you referring to Led Zeppelin's Stairway to Heaven produced by Jimmy Page?,0,,,3,100.0
"confirm(name[Dragostea Din Tei], is_from_album[True], producer[Dan Balan])",Are you referring to Dan Balan's Dragostea Din Tei from an album?,1,is_from_album,,3,66.66666666666666
"confirm(name[Wild], is_from_album[True], genres[synth-pop])",Are you referring to the synth-pop song Wild from an album?,1,is_from_album,,3,66.66666666666666
"confirm(name[Somebody That I Used to Know], genres[indie pop], is_from_album[True])",Are you referring to the indie pop song Somebody That I Used to Know from an album?,1,is_from_album,,3,66.66666666666666
"confirm(name[About Damn Time], genres[disco], instance_of[single])"," Are you referring to About Damn Time, the disco single?",0,,,3,100.0
"confirm(name[Careless Whisper], genres[pop music], instance_of[musical work/composition])"," Are you referring to the pop music song, Careless Whisper?",1,instance_of,,3,66.66666666666666
"confirm(name[Waka Waka], producer[Shakira], from_album[Listen Up! The Official 2010 FIFA World Cup Album])"," Are you referring to Shakira's Waka Waka, from the Listen Up! The Official 2010 FIFA World Cup Album?",0,,,3,100.0
"confirm(name[Get Up!], is_from_album[True], producer[Skrillex])",Are you referring to Skrillex's Get Up! from an album?,1,is_from_album,,3,66.66666666666666
"confirm(name[Over It], record_label[RCA Records], producer[Josh Alexander])",Are you referring to the song Over It by RCA Records produced by Josh Alexander?,0,,,3,100.0
"confirm(name[Hold My Hand], publication_year[2022], record_label[Interscope Records])",Are you referring to the song Hold My Hand from 2022 released by Interscope Records?,0,,,3,100.0
"confirm(name[For a Friend], producer[Stephen Hague], publication_year[1988])",Are you referring to Stephen Hague's 'For a Friend' from 1988?,0,,,3,100.0
"confirm(name[Dog Eat Dog], is_from_album[True], genres[new wave])",Is Dog Eat Dog the new wave song from an album?,1,is_from_album,,3,66.66666666666666
"confirm(name[All or Nothing], genres[pop music], producer[Frank Farian])",Are you referring to Frank Farian's pop music song All or Nothing?,0,,,3,100.0
"confirm(name[Mr. Brightside], performer[The Killers], publication_year[2003])",Are you referring to The Killers' Mr. Brightside released in 2003?,0,,,3,100.0
"confirm(name[We Are the World], performer[USA for Africa], instance_of[single])",Are you referring to the single We Are the World performed by USA for Africa?,0,,,3,100.0
"confirm(name[Wild], performer[Troye Sivan], record_label[Universal Music Australia])",Are you referring to Troye Sivan's Wild released by Universal Music Australia?,0,,,3,100.0
"confirm(name[I Still...], genres[pop rock], record_label[Jive Records])"," Are you referring to I Still..., the pop rock song from Jive Records?",0,,,3,100.0
"confirm(name[Paint It Black], publication_year[1966], producer[Andrew Loog Oldham])",Are you referring to the 1966 song Paint It Black produced by Andrew Loog Oldham?,0,,,3,100.0
"confirm(name[Dragostea Din Tei], instance_of[musical work/composition], genres[Eurodance])"," Are you referring to Dragostea Din Tei, the Eurodance musical composition?",1,instance_of,,3,66.66666666666666
"confirm(name[Pumped Up Kicks], from_album[Torches], genres[pop rock])"," Are you talking about Pumped Up Kicks, the pop rock song from the album Torches?",0,,,3,100.0
"confirm(name[Littlest Things], performer[Lily Allen], genres[contemporary R&B])"," Is Littlest Things by Lily Allen, the contemporary R&B song?",0,,,3,100.0
"confirm(name[Que Calor], performer[J Balvin, El Alfa], is_from_album[True])",Are you referring to Que Calor by J Balvin and El Alfa from an album?,2,"performer, is_from_album",,3,33.33333333333333
"confirm(name[As It Was], record_label[Columbia Records], from_album[Harry's House])"," Are you referring to As It Was from Harry's House, released on Columbia Records?",0,,,3,100.0
"confirm(name[Get Up!], producer[Skrillex], performer[Skrillex, Korn])",Are you referring to the Skrillex and Korn collaboration track Get Up! produced by Skrillex?,2,performer,producer,3,33.33333333333333
"confirm(name[Black Barbies], publication_year[2016], is_from_album[False])"," Are you referring to Black Barbies, the song released in 2016?",1,is_from_album,,3,66.66666666666666
"confirm(name[King of Sorrow], performer[Sade], genres[contemporary R&B])"," Are you referring to Sade's King of Sorrow, the contemporary R&B song?",0,,,3,100.0
"confirm(name[About Damn Time], record_label[Atlantic Records], genres[disco])"," Are you referring to About Damn Time, the disco song by Atlantic Records?",0,,,3,100.0
"confirm(name[Careless Whisper], publication_year[1984], producer[George Michael])",Are you referring to George Michael's song Careless Whisper from 1984?,0,,,3,100.0
"confirm(name[Mr. Brightside], publication_year[2003], producer[The Killers])",Are you referring to The Killers' Mr. Brightside from 2003?,0,,,3,100.0
"confirm(name[Old Town Road], publication_year[2018], producer[Trent Reznor])",Are you referring to the 2018 song Old Town Road produced by Trent Reznor?,0,,,3,100.0
"confirm(name[Over It], from_album[Katharine McPhee], is_from_album[True])",Is Over It from the album Katharine McPhee?,1,is_from_album,,3,66.66666666666666
"confirm(name[Wanna Get to Know You], genres[hip hop music], instance_of[single])",Are you referring to the hip hop single Wanna Get to Know You?,1,genres,,3,66.66666666666666
"confirm(name[I Still...], publication_year[2005], performer[Backstreet Boys])",Are you talking about the song I Still... by Backstreet Boys released in 2005?,0,,,3,100.0
"confirm(name[Apple Shampoo], is_from_album[True], from_album[Dude Ranch])",Is Apple Shampoo from the album Dude Ranch?,1,is_from_album,,3,66.66666666666666
"confirm(name[Seven Nation Army], from_album[Elephant], performer[The White Stripes])",Are you referring to The White Stripes' Seven Nation Army from the album Elephant?,0,,,3,100.0
"confirm(name[King of Sorrow], is_from_album[True], publication_year[2001])",Are you referring to King of Sorrow from the album released in 2001?,1,is_from_album,,3,66.66666666666666
"confirm(name[Get Up!], is_from_album[True], record_label[Roadrunner Records])"," Are you referring to Get Up!, the song from an album on Roadrunner Records?",1,is_from_album,,3,66.66666666666666
"confirm(name[We Are the World], record_label[Sony Music], instance_of[single])"," Are you talking about We Are the World, the single released by Sony Music?",0,,,3,100.0
"confirm(name[Seven Nation Army], record_label[XL Recordings], instance_of[single])",Are you referring to the Seven Nation Army single released by XL Recordings?,0,,,3,100.0
"confirm(name[Careless Whisper], publication_year[1984], record_label[Columbia Records])"," Are you referring to Careless Whisper, which was released by Columbia Records in 1984?",0,,,3,100.0
"confirm(name[Matador], publication_year[1994], instance_of[musical work/composition])",Are you referring to the musical work/composition Matador from 1994?,0,,,3,100.0
"confirm(name[Waka Waka], genres[pop rock], record_label[Epic Records])",Are you talking about the pop rock song Waka Waka from Epic Records?,0,,,3,100.0
"confirm(name[Money, Cash, Hoes], from_album[Vol. 2... Hard Knock Life], genres[East Coast hip hop])"," Are you referring to Money, Cash, Hoes, the East Coast hip hop song from Vol. 2... Hard Knock Life?",0,,,3,100.0
"confirm(name[Sweet Home Alabama], from_album[Second Helping], is_from_album[True])",Is Sweet Home Alabama from the Second Helping album?,1,is_from_album,,3,66.66666666666666
"confirm(name[Break My Soul], record_label[Parkwood Entertainment], publication_year[2022])"," Are you referring to Break My Soul, which was released by Parkwood Entertainment in 2022?",0,,,3,100.0
"confirm(name[Hold My Hand], genres[arena rock], record_label[Interscope Records])"," Are you referring to Hold My Hand, the arena rock song released by Interscope Records?",0,,,3,100.0
"confirm(name[Paint It Black], publication_year[1966], record_label[Elektra])"," Are you referring to Paint It Black, the 1966 single released by Elektra?",0,,,3,100.0
"confirm(name[Wanna Get to Know You], from_album[Beg for Mercy], instance_of[audio track])",Are you referring to the audio track Wanna Get to Know You from the album Beg for Mercy?,0,,,3,100.0
"confirm(name[So Good], publication_year[2012], record_label[Grand Hustle Records])"," Are you referring to Grand Hustle Records' ""So Good"" from 2012?",0,,,3,100.0
"confirm(name[Habibi], genres[dancehall], producer[Costi Ioniță])",Are you referring to Costi Ioniță's dancehall song Habibi?,0,,,3,100.0
"confirm(name[Bitter Sweet Symphony], record_label[Hut Records], from_album[Urban Hymns])",Are you referring to Hut Records' Bitter Sweet Symphony from the album Urban Hymns?,0,,,3,100.0
"confirm(name[Hold My Hand], is_from_album[False], performer[Lady Gaga])",Are you referring to Lady Gaga's song Hold My Hand?,1,is_from_album,,3,66.66666666666666
"confirm(name[I], instance_of[single], from_album[To Pimp a Butterfly])"," Are you referring to the single ""I"" from the album To Pimp a Butterfly?",0,,,3,100.0
"confirm(name[Anti-Hero], performer[Taylor Swift], record_label[Republic Records])",Are you referring to Taylor Swift's Anti-Hero released by Republic Records?,0,,,3,100.0
"give_opinion(name[I], rating[excellent], genres[hip hop music])give_opinion(name[Waka Waka], rating[excellent], genres[pop music])"," I think the pop music song, 'I', is excellent. It's catchy and has a great beat.",1,genres,,5,80.0
"give_opinion(name[Old Town Road], rating[excellent], performer[Lil Nas X])",Old Town Road by Lil Nas X is an excellent song. I love it!,0,,,3,100.0
"give_opinion(name[I], rating[excellent], performer[Kendrick Lamar])",I think Kendrick Lamar's song I is excellent. His performance in this song is really outstanding.,0,,,3,100.0
"give_opinion(name[Poison], rating[excellent], producer[RedOne])",Poison is an excellent song produced by RedOne that I really enjoy.,0,,,3,100.0
"give_opinion(name[Style], rating[excellent], record_label[Big Machine Records])"," I'm a big fan of Big Machine Records, and Style is one of their best songs. It's excellent!",0,,,3,100.0
"give_opinion(name[As It Was], rating[excellent], publication_year[2022])",As It Was is a great song from 2022 and I think it's an excellent piece of work.,0,,,3,100.0
"give_opinion(name[All or Nothing], rating[good], record_label[Arista Records])"," I think All or Nothing is a great song. Arista Records always produces great music, so I'm not surprised.",1,rating,,3,66.66666666666666
